Sheet,Parameter,Parameter Code,Unit,Definition,,,
Demand,SentOut,,GWh,The overall sentout electricity demand for all sectors within the given country.,,,
PeakDemand,SentOut,,MW,The peak demand of the country for the specific year.,,,
Transmission and Distribution,Efficiency,,%,Efficiency of the transmission or distribution system.,,,
Transmission and Distribution,Overnight Cost,,$/kW,"The cost of a construction project if no interest was incurred during construction, as if the project was completed ""overnight"". Values are given in constant prices of base year.",,,
Transmission and Distribution,Fixed O&M Cost,,$/kW,Annual fixed operating and maintenance cost in prices of base year.,,,
FuelPrices,Variable Cost,,$/GJ,Refers to the price of the given fuel or resource.,,,
GenericTech and SpecificTech,Input/Fuel,Par_minp,,"The fuel that is consumed by a technology and it's level in the energy system. e.g., Gas/Primary is the input fuel for gas co-fired technology.",,,
GenericTech and SpecificTech,Output,Par_moutp-ef,,"The output of the given technology. e.g., Electricity/Secondary is the output of gas co-fired technology.",,,
GenericTech and SpecificTech,Minimum utilization rate,Par_minutil,,Fraction of time in a year the technology must be used/dispatched.,,,
GenericTech and SpecificTech,First year,Par_fyear,,First year in which the technology can be built in the future.,,,
GenericTech and SpecificTech,Life,Par_pll,year,Operational life of the technology.,,,
GenericTech and SpecificTech,Efficiency,Par_moutp,%,Output to input ratio of the given technology.,,,
GenericTech and SpecificTech,Plant factor,Par_plf,,"The meaning of the plant factor depends on assumption about its load region. 
• It is the maximum availability of the technology per year if it has no load region. 
• It is maximum availability of the technology in each region if it has load region. 
• It is the maximum availability in the load region with the highest load utilization given by the pattern, if the technology has a fixed 
production pattern over the load region. 
A technology has load region if one of its inputs/outputs has load region. ",,,"If the technologies have profiles, in which sheets they are in?"
GenericTech and SpecificTech,Operation time,Par_optm,,Fraction of time in a year the technology can be in operation.,,,
SpecificTech,Plant Status,Par_status,,"Can be existing, committed or candidate depending on the status of the plant.",,,
SpecificTech,year1 MW1 year2 MW2,Par_hisc,,"Year of installation of the technology, and its capacity at the time.",,,
SpecificTech,Total Capacity Upper Limit,Par_bdi_up,,Total capacity upper limit of the technology throughout its lifetime.,,,
Specific Tech,Load Curve?,,,What does load curve for technology refer to?,,,
GenericTechCosts and SpecificTechCosts,Overnight Investment Cost,,$/kW,Overnight costs in constant prices of base year.,,,
GenericTechCosts and SpecificTechCosts,Fixed O&M Cost,,$/kW,Fixed operation and maintenace cost for the given technology.,,,
GenericTechCosts and SpecificTechCosts,Variable O&M Cost,,$/MWh,Variable operation and maintenance cost for the given technology.,,,
SpecificTechHydroDams,Description,Par_Descr1,,Description of dam hydropower technology.,,,
SpecificTechHydroDams,Corresponding River Tech,Par_river_tech,,Technology code: {CountryCode}RIDM_{ProjectName}},,,
SpecificTechHydroDams,River Capacity Max Flow,Par_bdi_up_R,MW,This is a total capacity limit for the corresponding river technology to define the river's max flow in MW derived from max flows in m3/s.,,,
